Contents,CoreID,N,d15N,C,d13C
Blades,YM1C_3_1_3,1.99574948,1.229956096,41.94877191,-10.77397557
Blades,YM1C_3_1_3,1.980455266,1.233003702,41.90790518,-10.33875913
Blades,YM1C_3_1_3,1.985268149,1.179162666,41.72903025,-10.08568172
Blades,YM1C_3_20_1,1.799022672,1.028579201,42.77600286,-8.244920119
Blades,YM1C_3_20_2,1.69921281,2.176466312,41.96441446,-7.653823388
Blades,YM1C_3_20_3,1.903557098,1.592346452,43.53322774,-7.373985235
Blades,YM1D_1_1_1,1.707899616,1.024615191,41.31118046,-11.8001228
Blades,YM1D_1_1_2,1.695028567,1.118198968,40.12174485,-11.09614405
Blades,YM1D_1_1_3,1.657742182,1.201718378,40.74822004,-11.32510609
Blades,YM1D_1_20_1,1.430512031,0.137063589,40.10773352,-10.01072997
Blades,YM1D_1_20_2,1.425806165,-0.65277591,41.63817667,-8.487738253
Blades,YM1D_1_20_3,1.547086886,-0.054289279,41.4189876,-8.998013933
Blades,YM1D_2_1_1,1.992731269,1.194090893,41.16297371,-12.13305656
Blades,YM1D_2_1_2,2.131140099,1.940484642,41.05434677,-12.16570891
Blades,YM1D_2_1_3,1.965775393,1.2967963,40.6804219,-12.73069351
Blades,YM1D_2_20_1,1.444490955,-0.759345608,41.8491771,-8.031723522
Blades,YM1D_2_20_2,1.480423585,0.046027484,42.16690821,-8.71544394
Blades,YM1D_2_20_3,1.509520821,-0.574272498,41.06997105,-8.443341024
Blades,YM1D_3_1_1,2.089255587,1.385767477,42.93438983,-11.05312053
Blades,YM1D_3_1_2,2.083512379,1.480407106,42.51212163,-12.35510436
Blades,YM1D_3_1_3,2.189268156,1.238211067,42.76709471,-11.96038528
Blades,YM1D_3_20_1,1.618218637,-0.423579405,42.43305697,-8.494319736
Blades,YM1D_3_20_1,1.613719753,-0.225305747,42.17714502,-8.290522892
Blades,YM1D_3_20_1,1.606620571,-0.385139705,42.49291924,-8.43487751
Blades,YM1D_3_20_2,1.643443556,-0.950711962,42.64531373,-9.387838049
Blades,YM1D_3_20_3,1.711388358,-0.388979971,42.10983097,-8.61018255
Blades,YM2A_1_1_1,1.381408279,-0.073628133,40.81058909,-8.374126009
Blades,YM2A_1_1_2,1.401650762,0.004745116,41.157278,-8.562173861
Blades,YM2A_1_1_3,1.412756828,-0.085842146,40.44845712,-8.477944094
Blades,YM2A_1_20_1,1.148704417,0.774227927,41.30726722,-8.471088183
Blades,YM2A_1_20_2,1.272150066,0.657176971,40.23790003,-8.713003908
Blades,YM2A_1_20_3,1.311503363,-0.051235776,42.46900127,-8.246801943
Blades,YM2A_2_1_1,1.544632689,0.946987785,40.62244562,-8.663991752
Blades,YM2A_2_1_2,1.452144523,0.245336986,41.00046466,-7.865493377
Blades,YM2A_2_1_3,1.517797067,-0.15734956,40.73804764,-7.996102777
Blades,YM2A_2_20_1,1.459270336,0.223982397,40.43960826,-7.898145727
