"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"1",12,21.74,90.6401980969291,0,1.23019809692911,20,"-6.19"
"2",24,21.7400173904445,91.9732816955315,1.73904445125259e-05,1.33308745940547,20,"-6.19"
"3",36,21.7400689790448,93.2664350715624,5.15886211916554e-05,1.2931615388426,20,"-6.19"
"4",48,21.7401693901659,94.6149687678122,0.000100411203943075,1.34854614979961,20,"-6.19"
"5",60,21.7403185681948,95.8803416080921,0.000149178232510784,1.26538989166785,20,"-6.19"
"6",72,21.7405446624203,97.2530462590473,0.000226094608349745,1.37272613116616,20,"-6.19"
"7",84,21.7408289174541,98.5361467112687,0.000284255688303608,1.2831268623033,20,"-6.19"
"8",96,21.7412277752289,99.9608743700347,0.000398858770858135,1.4247587949066,20,"-6.19"
"9",108,21.7416744112889,101.235298864862,0.000446637535554065,1.2744610122619,20,"-6.19"
"10",120,21.7422807842417,102.684838973615,0.000606374965064845,1.44958155887906,20,"-6.19"
"11",132,21.7428963066019,103.913986520375,0.000615525101196285,1.22919474408006,20,"-6.19"
"12",144,21.7437269199406,105.358720171173,0.000830616819566641,1.44478583549349,20,"-6.19"
"13",156,21.7445786288638,106.635837757283,0.000851713402596952,1.27717576669501,20,"-6.19"
"14",168,21.7456327380785,108.036795841755,0.00105411471786892,1.40102168566975,20,"-6.19"
"15",180,21.7467106107232,109.303878118585,0.00107787941516495,1.26715195417761,20,"-6.19"
"16",192,21.7480340872465,110.706680382988,0.00132348458970588,1.40287755431374,20,"-6.19"
"17",204,21.7494144048363,112.020741001299,0.00138032724778664,1.31414225163838,20,"-6.19"
"18",216,21.7510933424416,113.474859699959,0.00167894892328152,1.45420639773176,20,"-6.19"
"19",228,21.7527773927307,114.796389452984,0.00168406362648415,1.32162430372511,20,"-6.19"
"20",240,21.7548064173625,116.259189320008,0.00202903999508492,1.46290077161408,20,"-6.19"
"21",252,21.7568627700294,117.615400076569,0.00205637047155271,1.35631883528969,20,"-6.19"
"22",264,21.7592438969204,119.067276174762,0.00238114717029667,1.45199096067901,20,"-6.19"
"23",276,21.7616654012616,120.430119108107,0.00242152748663706,1.36296519927082,20,"-6.19"
"24",288,21.7643662549067,121.844810843028,0.00270087970583728,1.41482108310482,20,"-6.19"
"25",300,21.7670964607063,123.176265250822,0.00273023511269427,1.33159124372963,20,"-6.19"
"26",312,21.7702727981936,124.628416496721,0.00317637008907704,1.45229525562292,20,"-6.19"
"27",324,21.7733902088273,125.960306327785,0.00311744706246147,1.3320418048427,20,"-6.19"
"28",336,21.7771673288672,127.480354415041,0.00377716022574325,1.52020749392493,20,"-6.19"
"29",348,21.7808693528525,128.87532466043,0.00370206872471119,1.39513828510596,20,"-6.19"
"30",360,21.785099134862,130.379021829317,0.00422983121351599,1.50387327207215,20,"-6.19"
"31",372,21.7892726484284,131.775457361402,0.00417356787346359,1.39662047813959,20,"-6.19"
"32",384,21.7940796291194,133.298637364313,0.00480704003491714,1.52337330128027,20,"-6.19"
"33",396,21.7986820307247,134.675535159996,0.00460246675314285,1.37710035842441,20,"-6.19"
"34",408,21.8042054355355,136.2468105465,0.0055234755178856,1.57148646215018,20,"-6.19"
"35",420,21.8096207221579,137.703809443982,0.00541536400444985,1.45721984820004,20,"-6.19"
"36",432,21.8156586390823,139.248885245852,0.00603800085379783,1.54530606222831,20,"-6.19"
