"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"1",12,21.74,92.9917348986492,0,3.58173489864921,1,"-0.5.-1.5"
"2",24,21.7635825175637,97.0246145312294,0.0235825175637131,4.03305261852041,1,"-0.5.-1.5"
"3",36,21.8076670271925,100.874432574047,0.0440849351680502,3.8502017525956,1,"-0.5.-1.5"
"4",48,21.8748755856933,104.903418531396,0.0672097820047398,4.02958658688865,1,"-0.5.-1.5"
"5",60,21.9563370939561,108.581065732486,0.081463954496967,3.67849133220986,1,"-0.5.-1.5"
"6",72,22.0664404682411,112.632157701666,0.110107312595594,4.05217308786583,1,"-0.5.-1.5"
"7",84,22.187228945076,116.316956903654,0.120794449323882,3.68615763426395,1,"-0.5.-1.5"
"8",96,22.345803845784,120.49610235387,0.158583127907937,4.18077092648102,1,"-0.5.-1.5"
"9",108,22.503513964297,124.089371288116,0.157721342498322,3.59521434937681,1,"-0.5.-1.5"
"10",120,22.7095690030854,128.287364876837,0.206069284574108,4.20022859535796,1,"-0.5.-1.5"
"11",132,22.8956502594201,131.655221247908,0.186099512379714,3.37044669288454,1,"-0.5.-1.5"
"12",144,23.1431480530204,135.760935450919,0.247519731673811,4.10860281156993,1,"-0.5.-1.5"
"13",156,23.3748070100976,139.243863696437,0.23168588141396,3.48619642833927,1,"-0.5.-1.5"
"14",168,23.6539419937119,143.12680986159,0.279166667147708,3.88655007271538,1,"-0.5.-1.5"
"15",180,23.9179589958634,146.512627364203,0.264054538444572,3.38981054777199,1,"-0.5.-1.5"
"16",192,24.2367468679293,150.336247962459,0.318831063030172,3.82796574217164,1,"-0.5.-1.5"
"17",204,24.5495384081583,153.828602102267,0.312841712981099,3.49711122751223,1,"-0.5.-1.5"
"18",216,24.9248949812771,157.766809687204,0.375413760128419,3.94335419668886,1,"-0.5.-1.5"
"19",228,25.2775626774675,161.227767313929,0.352733514623075,3.46655868958159,1,"-0.5.-1.5"
"20",240,25.6978309055731,165.126984857187,0.420342369102728,3.90523128477199,1,"-0.5.-1.5"
"21",252,26.1005953881916,168.643986637454,0.402848810809798,3.52349536302854,1,"-0.5.-1.5"
"22",264,26.5587940430301,172.440334236038,0.458293020782469,3.80328753330829,1,"-0.5.-1.5"
"23",276,27.001895638436,175.916532948333,0.443207707723201,3.48363487116582,1,"-0.5.-1.5"
"24",288,27.4846713561295,179.525603892403,0.482893520481166,3.61697461010829,1,"-0.5.-1.5"
"25",300,27.9497955514616,182.838242070047,0.465255105934044,3.32104050139289,1,"-0.5.-1.5"
"26",312,28.4871241985729,186.503596882708,0.537472551825284,3.67422674522349,1,"-0.5.-1.5"
"27",324,28.9876734408193,189.763520501559,0.500708604842727,3.26932844603392,1,"-0.5.-1.5"
"28",336,29.5974989559211,193.579236755301,0.609999708246763,3.82560675628557,1,"-0.5.-1.5"
